year,letter
1906,"I send this prayer to you as it
 was sent to me and I am trying to do as it requested me to do. I hope you
 will do likewise.
  THE PRAYER

  Oh; Lord, we implore thee. Oh; Eternal Holiness, have mercy on all mankind.
  Purify us by thy power and blood; take us to be with thee eternally.
 Oh Jesus Christ, we implore thee. Oh; Eternal Lord, have mercy on us an
ours.  Deliver us from all evil through thy power and blood. Amen.

  At Jerusalem during holy mass a voice was heard to say, they who write
this  prayer shall be delivered from every calamity. The prayer was Bishop
Tervice's  and he recommended it to be sent. They who do not write this prayer
shall  be afflicted with a great calamity. He who pays no attention to it
shall be punished by an accident. They who write this prayer for nine days
and deliver it to nine persons by mail beginning on the day of its receipt,
sending only one each day, shall be the receiver of a great joy after nine
days. Amen."
1906,"Oh Lord, Jesus Christ! We implore
you, Eternal God! have mercy on us and all mankind. Purify us from all sins
by your precious blood and take us to be with you eternally, amen. Oh! Eternal
Holiness! have mercy on all men; pardon us from all trials through your precious
blood. Amen.    
 He who will write this prayer for nine days and distribute 
it to nine persons, commencing on the day received, sending only one each 
day, will have great joy after nine days. At Jerusalem, at holy mass, a voice 
was heard to say: He who says this prayer will be delivered from all calamity. 
This prayer has been sent from the Bishop of Cornens recommending it to be 
sent to nine persons; he who will not say this prayer, will be afflicted with
a great misfortune. One person, who paid no attention to it after receiving 
it, met with a great accident."
1906,"Oh, Lord Jesus Christ, we beseech 
 thee Oh Lord God, Holy Eternal have mercy on me and all the sinners forever 
 and ever. Amen.
   Oh, Lord Jesus Christ, we beseech thee Lord Eternal have mercy on us and 
 save us from sin by thy Precious Blood, now and forever.  Amen.
   He who recites this prayer and writes it for nine days, once a day, giving 
 a copy each day to some person who will do the same, will receive a great 
 joy at the end of nine days. This prayer was sent by the bishop of Rome and
 a copy was given to a woman who paid no attention to it, and in punishment 
 therefore, her son was assassinated on the third day.
   Whosoever receives this must recite it giving a copy to nine persons for 
 nine days.
   O, Lord Jesus Christ, we implore thee, O, Eternal God, have mercy on us
 and all mankind. Purify us by thy precious blood and take us to be with
thee  eternally.  Amen.
   Oh, eternal Holiness, have mercy on all mine. Pardon our offenses and
take  us to be with thee eternally.  Amen
   He who recites this prayer for nine days and sends it to nine other persons 
 commencing on the day receiving and sending one each day will have a great 
 joy after nine days."
1906,"Endless Payer Chain
  Oh, lord, Jesus Christ, I implore thee, oh, Eternal God, to have mercy
on  all mankind. Keep us from sin by Thy precious blood, and take us to be
with  Thee eternally. Amen.
  This prayer was sent by Bishop Lawrence recommending it to be rewritten 
and sent to nine other persons. He who will not say it will be affected by 
some misfortune. One person who paid no attention to it met with a terrible 
accident, so the friend wrote who sent this to me. He who will write this 
prayer for nine days and distribute it to nine other persons commencing on 
the day it is received and sending only one each day, will on or after the 
ninth day experience great joy. At Jerusalem, during the Holy Feast, it was 
said, he who will rewrite the prayer will be delivered from every calamity. 
Please do not break the chain."
1906,"Endless Prayer Chain
 Oh, Lord Jesus Christ, we implore Thee, the one eternal God to have mercy 
on all mankind. Keep us from sin by thy precious blood and take us live with 
thee eternally.  Amen.
 This prayer was sent by bishop Lawrence recommending it to be written nine 
times and sent to as many persons.  He who will not send it will be afflicted
with some misfortune. He who will write this prayer and distribute it to
nine persons commencing the day it is received, will on the ninth day, receive
a blessing. 
 Please do not break this prayer chain."
1906,"Endless Prayer
 Chain.
Oh! Lord Jesus Christ we implore
   thee, Oh God have Mercy on all
   Nations, keeping us from sin
   by thy blood and take us to
   dwell with thee eternally, Amen
            ---      
 ---    ----    -----   ----
   This prayer was sent by Bishop
   Lawrence recommending it to be
   recided & sent to Nine other 
   persons. He who will not heed it
will be afflicted by Misfortune. He
   who will recide it and send it
   to Nine other persons beginning
   on the day it was read will on
   or after the Ninth day receive a
   great joy it is also said that
   he who will recide it will be
   delivered from all Calamity
   Please do not break the Chain.
      
                          
 Mary E Erb"
1907,"Endless prayer chain. Oh, Lord
Jesus Christ, we implore thee, Oh Eternal God, to have mercy on all mankind,
and keep us from sin by thy precious blood and take us finally to live with
thee eternally. Amen.
  This prayer was written and sent out by Bishop Lawrence recommending
it to be written and sent to nine other persons. He who will not write this
prayer will be afflicted by some misfortune. One person who paid not attention
to it met with a great accident. He who will write this prayer for nine days,
sending it  to nine other persons, commencing on the day this is received,
and sending one each day, will, on or after the ninth day, experience great
joy. At Jerusalem during the holy feast, it was said, 'He who will write
this prayer shall be delivered from every calamity. Pleases do not break
the chain.
                     
 Mrs.  M---
P. S. -- Mrs. H--- refused to write this prayer."
1907,"Endless Prayer Chain
 Oh! Lord Jesus, we implore Thee;
 Oh! Eternal Lord, to have mercy on all mankind.
 Keep me from all sins by Thy precious word, and tutor us to dwell with Thee 
eternally. Amen.

 This prayer was sent by Bishop Lawrence, recommending that it be sent to 
nine persons. He who will not rewrite this prayer will be afflicted by some 
misfortune. One person who paid no heed to it met with a terrible accident. 
He who will rewrite this prayer for nine days to nine persons and send it 
to them, commencing on the day he received it and writing one each day, will 
receive after the ninth day some great joy. At Jerusalem during the Holy Feast
it was said that he who will rewrite this prayer will be delivered form every
calamity.  Please don't break this chain."
1907,"I am sending you this Prayer
chain and trust you will keep it going, and also derive great benefits therefrom.
  We implore thee, oh eternal God, to have mercy upon all mankind, keep
us from sin by Thy blood and help us to be with Thee eternally - Amen.
  This Prayer was sent by Bishop Lawrence, recommending it to be sent
to 9 different persons.
  He who will not write this Prayer will meet with some misfortune.
One person who paid no attention to it met with a fearful accident. He who
will write this Prayer 9 days to 9 different persons, will on and after the
9th day experience great glory.  
  At Jerusalem at the Holy Feast it was said that he who would write
this Prayer would be delivered from every calamity. 
  Please do not break this Prayer chain which I send you in the name
of our Great Redeemer."
1907,"Oh, Lord, Jesus Christ, we implore
thee, oh, Eternal God, to have mercy on all mankind and keep us from all
sin by thy precious blood and take us to be with thee eternally. Amen.
  This prayer was sent out by Bishop Lawrence requesting that it be
sent to nine persons. He who will not write these prayers will be afflicted
by some misfortune but he who will write them will experience great joy.
 Send one on the day this is received and one on each of the nine following
days.
  At Jerusalem at the Holy Feast it was said: He who will write these
prayers will be relieved from all calamity.
  Let not this chain be broken. - A Friend."
1907,"Dear Friend - I am sending you
a payer, received by a request to be sent to nine different persons:
  Oh, Lord Jesus Christ; oh God Eternal, we implore Thee to have mercy
on all mankind and take us with Thee through eternity. Amen.
  This was sent by Bishop Lawrence asking it to be sent to nine different
persons.
  Those who will not do this will have some misfortune. Those who will
do this will on or before the ninth day experience some great joy, and it
is also said, will be delivered from some great calamity.
  Please do not break the chain.
                   A Friend."
1907,"An Ancient Prayer

O! Lord Jesus
I explore the
to Help all man-
kind  keep us from
evil. Guide us and
go with us to eternity
is our Prayer
-----------------------
 This was sent to me to
copy. It is said that those
who dont copy this will be
unfortunate and those
who do will be lucky so
copy 9 days send to a friend
and make a wish while writing.

Send one a day till you send to 
9 friends then you will rejoice some day"
1907,"O Lord Jesus Christ, we implore Thee, O Eternal God, 
 to have mercy on all mankind. Keep us from all sin by thy precious blood, 
 and take us to be with thee eternally. Amen."
1907,"Lord Jesus Christ we implore 
     thee to have mercy on all 
     mankind keeping us from
     all sin and taking us
     with thee through Eternity.
                                    
  Amen
     Please send this to nine
     persons and you will on 
     or before the ninth day
     experience a great joy.
     And if you don't you 
     will have a misfortune.
     Do not break the chain.
     This was sent to me with
     the request that I send
     it to nine persons."
1907,"O, Lord Jesus, we implore Thee O eternal God, to have mercy on all  mankind: 
keeping us from all sin by Thy precious blood and take us to live with Thee 
eternally. 
 This prayer was sent by Bishop Warren, recommending that it be written and 
sent to nine other persons.
 He who will not write it will be afflicted by some misfortune. One person 
who paid no heed to it met with a terrible accident. He who will write this 
prayer for nine days, commencing on the day that it is received, will, after 
the ninth day, experience some great joy.  At Jerusalem during the holy 
feast, it was said, ""Who will write this prayer will be delivered from some 
calamity."" Please do not break the chain."
1907,"Dear Friend and Christian: Below
is a prayer chain just as it was sent to me, so I send it out to others,
for I do not want it broken in my hands. May God bless you and others to
keep it going.
O, Lord Jesus, we implore thee O Eternal God, to have mercy on all mankind:
keep us from all sin, and take us to live with thee eternally. Amen.
This prayer was dictated by Bishop Lawrence. He commands it to be written
and sent to nine other persons. He who will not do it will be afflicted by
some misfortune, and persons who pay no attention to it will meet with a
terrible accident. He who will write this prayer for nine days and send it
to nine others, commencing the day you receive this (only one each day),
will after nine days experience some great joy. At Jerusalem, at the feast,
it was said he who would write this prayer would be delivered from every
calamity. Please do not let this drop in your hands. I have written this
just as I received it. Now, please send it to others. Sincerely, CHRISTIAN"
1907,"Oh, Lord Jesus Christ, we implore
thee, oh Eternal God, have mercy on mankind. Keep us from all sin and take
us through eternity. Amen.

  Bishop Leonard requests this prayer recited and sent to nine persons.
The one who will not do this will have some misfortune: but he or she who
recites this prayer and sends it to nine persons beginning the day it is
received and sending one each day thereafter, will on or before the ninth
day receive luck in business and experience some great joy.
                     Bishop
Leonard"
1908,"Oh! Lord Jesus Christ, the eternal God, have mercy upon all mankind. 
Keep us from all sin and take us to be with Thee eternally. This prayer was sent to Bishop Lawrence, recommending
 that it be sent to nine other persons; it must not be signed; he who will
 write it for nine days, commencing the day received, distributing it to
nine  different persons, and sending one each day, will on and after the
ninth day experience a great joy.  Oh, Jerusalem, at the feast it was said; he who will
 write this prayer will be delivered of every calamity. Please do not break
 the chain and please copy as received, trusting that the blessing of God
may rest upon you and on whom sent to by you."
1908,"April 22nd 
 08

The endless chain prayer
                ________

    Oh Lord we implore thee to have
    mercy on all mankind. Keep
    us from all evil and take
    us to thy Home above eternally
                               
  ___Amen

    The prayer was written by
    Bishop Lawrence recommending
    it to be sent on to 9 other
    persons on the day received
    He or she who should rewrite
    it on the day received will
    experience on or before the
    9th day some great joy
          ______________

    Please do not break the chain"
1908,"Oh Lord, Jesus Christ, the Eternal
God, have mercy upon all mankind. Keep us from all sin, and take us with
Thee eternally.
  This prayer was sent to Bishop Laurence recommending it to be sent
to nine other people. We, who write this for nine days commencing on the
day received, distributing it to nine other persons, one each day, will after
the ninth day experience some great  joy. 
  At Jerusalem, during the great feast, it was said that we who wrote
this prayer would be delivered from every calamity. Please do not break this
chain and copy as soon as received. Trusting that the blessing of God may
rest upon you and upon him to whom it is sent. It must not be signed."
1908,"Oh! Lord Jesus Christ, the eternal God, have mercy upon all mankind.
Keep us from all sin and take us to be with Thee eternally. This prayer was sent to Bishop Lawrence, recommending 
that it be sent to nine other persons; it must not be signed; he who will 
write it for nine days, commencing the day received, distributing it to nine 
different persons, and sending one each day, will on and after the ninth day
experience a great joy.  Oh, Jerusalem, at the feast it was said; he who will 
write this prayer will be delivered of every calamity. Please do not break 
the chain and please copy as received, trusting that the blessing of God may
rest upon you and on whom sent to by you."
1908,"The endless chain of prayer.
  Oh, Lord have mercy upon all mankind. Keep us from all sin and take
us to be with Thee eternally.

   This prayer was sent to Bishop Lawrence who recommended it be
sent to nine persons. He who will write it nine days commencing on the day
received, and distributing to nine different person, sending only on each
day will on the ninth day experience some great joy. At Jerusalem during
the ""Great Feast"" it was said, ""He who will write this prayer will be delivered
from all calamity.""
  Trusting that the blessings of God may rest upon those to whom it
was sent and upon you."
1908,"ENDLESS CHAIN OF PRAYER
  Oh! Lord Jesus, the eternal God, have mercy upon all mankind; keep
us from sins, and take us to live with thee eternally.
  This prayer was sent to Bishop Lawrence recommending to be sent to
nine persons. It must not be signed.. He or she who will commencing on the
day received distributing and sending one each day will on or after experience
some great joy, but if you do not do this a terrible misfortune will befall
you.
  At Jerusalem during the great feast it was said he who will write
this prayer for nine days will be delivered from every calamity. Please copy
as received. Trusting that the blessing of God may rest upon you and those
to whom it is sent."
1908,"Endless Chain Prayer
O Lord we implore thee
to have mercy on all
mankind. Keep us from
evil & take us to be
with thee eternally.

This prayer was written by
Bishop Lawrence recommending
it to be sent to 9 different persons.
Begin on the day you receive this
card & send one each day until 9
days have elapsed. On or before
the 9th day you will receive some
great joy.     
 Please do not break 
          
 the chain.

I will write as soon as possible  
 love
                                             
 Frank"
1908,"THE PRAYER
   Oh! Lord Jesus Christ, The Eternal God, have mercy upon all
mankind. Keep us from sin, and take us to be with Thee Eternally.
  This prayer was sent to Bishop Lawrence, recommending it to be sent
written to nine other persons. It is not to be signed. He who will write
it for nine days, commencing when received, and distributing it to nine different
persons, one each day, will on and after the ninth day, experience some great
joy. At  Jerusalem, during the great feast, it was said that He who
would write this prayer, would be delivered from some great calamity. Please
do not break this chain. Please copy as directed or received. Trusting that
the blessing of God may rest upon you to whom it is sent."
1909,"An Ancient Prayer
  Oh, Love us Jesus our friend. Help us to love thee, we pray thee to
bless all mankind. Keep us from all evil by thy precious blood, and take
us to dwell with thee in eternity.
This prayer was sent to me by a friend. Copy and see what will happen. It
was said that those who will not write this prayer will meet with some misfortune
and those who will write it, nine days, commencing the day received, will
experience some great joy on the ninth day. It is said in Jerusalem that
those who write this prayer will be delivered from calamity. Do not break
the chain, make a wish while writing and do not forget to write nine days
to nine friends.
  Yours with the blessing of the friend.
                     
                 X."
1909,"Please copy and send to
    nine of your friends and
    see what will happen.
    Prayer
            Oh Lord I implore thee
    to have mercy on all mankind
    Keep us form all evil and at
    last to be with thee Eternally
    Amen
    It is said that in Jerusalem
    the Holy City he who writes
    shall be delivered from all
    calamity - it is said he who writes
    nine times beginning the day
    received and sending out 
    each day will experience 
    great Happiness.
        Please do not break this 
    Chain."
1909,"AN ANCIENT PRAYER
Oh, Lord Jesus, I implore
Thee to bless all mankind:
Keep us from evil and take
Us to dwell in eternity.

  This was sent me by a friend. Copy and see what will happen. It is
said in Jerusalem that he who writes this prayer for nine days commencing
with the day received will on the ninth day experience some great joy. He
will also be delivered from all calamities. But he who will not write will
meet with misfortune. Make a wish while writing. Do not forget to write to
a different friend each day.
  
Do not break the chain.
                     
  A FRIEND"
1909,"Oh, Lord Jesus, I implore Thee
to have mercy on mankind and keep us from evil by Thy precious blood and
take us to dwell with Thee in Eternity.
   Please copy this letter and send to nine friends. It is an endless
chain and must not be broken. It is said that who do will meet with some
misfortune and that those who will write it for nine successive days commencing
on the day it is received will experience some great joy on the ninth day
and will be delivered from a great calamity, but you must make a wish when
writing. With lots of good wishes to you, I remain sincerely,
                 A FRIEND."
1909,"Dear friend:  I am writing this to you to bring you good luck
as well as myself, that is if you care to follow instructions.  A friend
sent this to me.  You are to copy this prayer nine days and send it
to nine different persons commencing the day you receive this, and see what
will happen.  It is said that he who will do as directed, will on the
ninth day experience some great joy and will be delivered form all calamities,
but he who will not write will meet with some misfortune.  Make a wish
while writing, but do not break the chain. Start the day you receive this
and keep it up nine days. Be sure and send them to whom you think will not
neglect to write.  This is the prayer ""The lord Jesus, I implore thee
to bless all mankind, keep us from evil by thy precious blood and take us
to dwell in Eternity.
                 Lovingly, A
FRIEND"
1909,"Dear friend.  This was sent to me and I will sent it
    to you. Please and copy it to nine of your friend for
    nine days and see what will happen. Oh Lord
    Jesus I implore thee to have mercy on all mankind.
    Keep us from evil by his precious blood and ask
    to dwell with thee in eternity. It is said that those
    will not write the prayer will meet with some
    misfortune and those who will write it for nine days
    commencing on the day received will experience 
    some great joy on the ninth day. Make a wish
    while writing and write to nine friend nine
    day
                           
  A. friend."
1909,"An Ancient Prayer.
Oh Lord Jesus I implore Thee to bless all mankind, keep us from evil, by
thy precious blood, and take with thee in eternity my dear friend.
The above is an exact copy of a strange mission sent me by an acquaintance.
Copy it and see what will happen. It is said in Jerusalem that he who will
not write this prayer, will meet with great misfortune, but he who will write
it for nine days, commencing on the day the letter is received, will experience
some great joy on the ninth day.
If he writes the prayer he will be delivered from all calamities.
Do not break the chain, make a wish while writing. Do not forget to write
for nine days, and to nine friends."
1909,"AN ANCIENT PRAYER

 O, Lord Jesus, I implore thee to bless all mankind: keep us from all evil 
with thy precious blood and take us dwell in eternity with Thee.

 This was sent to me by a friend. Copy it and see what happens. It is said 
that those who will only write this prayer will meet with some great misfortune, 
and those who will write it for nine das, commencing the day it is received, 
will experience some great joy on the ninth day.  It is said in Jerusalem 
that they who will write this prayer will be delivered from calamity. Do not
break the chain, make a wish while writing it and do not fail to write it
for nine days, and send to nine friends."
1909,"Endless chain prayer
 Oh Lord Jesus Christ the eternal God have mercy on all mankind, keep us
from sin and take us to be with thee eternally.
 This prayer was sent to Bishop Lawrence recommending it to be sent to nine 
other persons. It must not be signed. He who will write it for nine days commencing
on the day received, distributing to nine other persons, will on and after
the ninth day experience some great joy. At Jerusalem it was said he who
will write this prayer will be delivered of every calamity. 
 Please do not break this chain. Please copy as  received trusting that 
the blessing of God may fall on you and the one by whom it is sent."
1909,"An 
Ancient  Prayer

O Lord Jesus I implore thee
 to  bless 
all Mankind keep us from evil by thy
precious blood, and take us to dwell 
 in
         
   Eternity
__________________________________________

This was sent to me by a friend copy
it and see what will happen. It was
said in Jerusalem that he who wrote
 
this prayer for nine time commenc-
ing the day recieved will experience
some great Joy on the ninth day. He
 
who will not write will meet 
meet  with some misfortune
he who will write will also be delivered
   
from all calamities. Make a wish while
writing do not break the chain. do 
not
forget to write to nine friend one
each day.
   Your Friend in Christ"
1909,"An Ancient Prayer
  Oh Lord Jesus I implore Thee to bless all mankind. Keep us from evil
by Thy precious blood, and take us to dwell with Thee in eternity.
  The above is an exact copy of a strange prayer sent me by a friend.
Copy it and see what will come of it. Tis said in Jerusalem that he who will
not write this prayer will meet with some misfortune, but he who writes it
for nine days beginning the day he receives it will experience some great
joy on the ninth day. He will be delivered from all calamities. Copy if for
nine days and send to nine friends. Make a wish while writing. Do not break
the chain."
1910,"An Ancient Prayer.
  Oh Lord Jesus, we implore Thee to bless all mankind and keep us from
all evil by thy precious blood and take us to heaven to dwell with Thee.   This prayer is sent by a friend. Copy and see what
will happen. It is said he who will not write this prayer shall meet with
some great misfortune and those  who write it nine days, beginning on
the day of receiving, shall receive some great pay on the ninth day.

   It is said in Jerusalem that he who writes this prayer shall
be delivered from all calamity. Do not break this chain, but send a copy
each day to some friend. Make a wish when writing and do not fail to write
nine days and on the ninth you will receive your wish.
Do not write your name."
1910,"Read carefully and well the 
 underwritten. Make your wish while writing it. Oh Lord Jesus, I implore thee
 to bless all mankind. Keep us from all evil and take us to dwell in eternity
 with thee. This is an exact copy of an ancient prayer. Copy it and see what
 will happen.
   It is said in Jerusalem that he who will copy this prayer for nine days, 
 and send it each day to nine different friends will the 9th day experience 
 some great joy and be delivered from calamity.
   But he who will not copy this prayer will meet with misfortune. Beginning 
 this day make a wish while writing and do not break the chain. The prayer 
 must not be signed."
